word,rank,freq,pmw
うん,1,1218,48593.6565
だ,2,1158,46199.8803
ね,3,701,27967.2851
の,4,610,24336.7245
そう,5,578,23060.0439
て,6,554,22102.5334
です,7,515,20546.5789
た,8,459,18312.3878
,9,456,18192.699
は,10,415,16556.9519
で,11,409,16317.5743
の,12,402,16038.3004
が,13,401,15998.4041
も,14,399,15918.6116
はい,15,369,14721.7235
に,16,355,14163.1757
と,17,345,13764.213
よ,18,344,13724.3168
言う,19,296,11809.2958
為る,20,295,11769.3996
か,21,286,11410.3331
ない,22,271,10811.8891
か,23,268,10692.2003
から,24,249,9934.1712
其れ,25,240,9575.1047
まあ,26,239,9535.2085
ます,27,237,9455.4159
良い,28,232,9255.9346
で,29,228,9096.3495
ああ,30,219,8737.2831
てる,31,216,8617.5943
って,32,207,8258.5278
あの,33,197,7859.5651
さん,34,183,7301.0174
無い,35,176,7021.7435
けれど,35,176,7021.7435
あっ,37,157,6263.7143
有る,38,154,6144.0255
何,39,146,5824.8554
な,39,146,5824.8554
を,41,145,5784.9591
一,42,141,5625.374
思う,43,125,4987.0337
十,44,120,4787.5524
来る,45,113,4508.2785
もう,46,109,4348.6934
遣る,47,103,4109.3158
事,48,102,4069.4195
此れ,49,94,3750.2494
一寸,49,94,3750.2494
と,51,89,3550.768
其の,51,89,3550.768
行く,53,88,3510.8717
御,54,85,3391.1829
時,55,83,3311.3904
から,56,82,3271.4941
人,57,79,3151.8053
くらい,58,78,3111.909
の,59,77,3072.0128
成る,59,77,3072.0128
いや,61,75,2992.2202
ちゃう,62,73,2912.4277
彼れ,63,68,2712.9463
どう,64,66,2633.1538
二,64,66,2633.1538
月,66,63,2513.465
えーと,67,61,2433.6725
方,68,60,2393.7762
居る,69,56,2234.1911
つう,70,54,2154.3986
ば,70,54,2154.3986
ふん,72,52,2074.606
私,73,51,2034.7098
三,74,50,1994.8135
分かる,75,49,1954.9172
えー,75,49,1954.9172
此の,77,47,1875.1247
後,77,47,1875.1247
多分,77,47,1875.1247
皆,77,47,1875.1247
こう,81,46,1835.2284
今,81,46,1835.2284
だけ,83,45,1795.3321
貰う,83,45,1795.3321
みたい,85,44,1755.4359
本当,85,44,1755.4359
矢張り,85,44,1755.4359
大丈夫,85,44,1755.4359
持つ,85,44,1755.4359
さ,90,43,1715.5396
出る,90,43,1715.5396
まで,90,43,1715.5396
此処,93,41,1635.7471
感じ,93,41,1635.7471
入る,93,41,1635.7471
九,96,40,1595.8508
達,97,39,1555.9545
前,98,37,1476.162
見る,99,36,1436.2657
俺,99,36,1436.2657
二十,99,36,1436.2657
日,99,36,1436.2657
凄い,103,35,1396.3694
違う,103,35,1396.3694
そんな,103,35,1396.3694
一応,103,35,1396.3694
奴,107,34,1356.4732
取る,107,34,1356.4732
出来る,109,33,1316.5769
出す,109,33,1316.5769
はあ,111,32,1276.6806
円,111,32,1276.6806
時,113,31,1236.7844
ず,113,31,1236.7844
所,113,31,1236.7844
会,113,31,1236.7844
えっ,117,30,1196.8881
ええ,117,30,1196.8881
,117,30,1196.8881
様,117,30,1196.8881
生,121,29,1156.9918
その,122,28,1117.0956
とく,122,28,1117.0956
駄目,124,27,1077.1993
け,125,26,1037.303
日,125,26,1037.303
れる,127,25,997.4067
八,127,25,997.4067
七,127,25,997.4067
台,127,25,997.4067
名,127,25,997.4067
し,132,24,957.5105
ん,133,23,917.6142
へえ,133,23,917.6142
たい,133,23,917.6142
書く,133,23,917.6142
五,133,23,917.6142
其処,138,22,877.7179
使う,138,22,877.7179
訳,138,22,877.7179
聞く,138,22,877.7179
下さる,138,22,877.7179
本,138,22,877.7179
彼の,144,21,837.8217
入れる,144,21,837.8217
物,144,21,837.8217
回,144,21,837.8217
成る程,144,21,837.8217
済む,144,21,837.8217
じゃん,150,20,797.9254
結構,150,20,797.9254
呉れる,150,20,797.9254
買う,150,20,797.9254
時間,150,20,797.9254
置く,150,20,797.9254
日,150,20,797.9254
マイク,150,20,797.9254
もの,158,19,758.0291
何処,158,19,758.0291
話,158,19,758.0291
風,158,19,758.0291
此方,162,18,718.1329
四,162,18,718.1329
的,162,18,718.1329
何,162,18,718.1329
んー,162,18,718.1329
てく,162,18,718.1329
高い,162,18,718.1329
半,162,18,718.1329
七,162,18,718.1329
用,162,18,718.1329
立てる,162,18,718.1329
十,162,18,718.1329
年,174,17,678.2366
そう,174,17,678.2366
全部,174,17,678.2366
しか,174,17,678.2366
られる,174,17,678.2366
大変,174,17,678.2366
子供,174,17,678.2366
通り,174,17,678.2366
カメラ,174,17,678.2366
何時,183,16,638.3403
君,183,16,638.3403
人,183,16,638.3403
早い,183,16,638.3403
大体,183,16,638.3403
向こう,183,16,638.3403
ワン,183,16,638.3403
ホシノ,183,16,638.3403
そんな,191,15,598.444
又,191,15,598.444
個,191,15,598.444
頂く,191,15,598.444
内,191,15,598.444
夜,191,15,598.444
第,191,15,598.444
グループ,191,15,598.444
小学,191,15,598.444
睦み,191,15,598.444
全然,201,14,558.5478
所,201,14,558.5478
つ,201,14,558.5478
中,201,14,558.5478
返る,201,14,558.5478
んー,201,14,558.5478
僕,201,14,558.5478
色んな,201,14,558.5478
三十,201,14,558.5478
掛ける,201,14,558.5478
願う,201,14,558.5478
借りる,201,14,558.5478
委員,201,14,558.5478
知る,214,13,518.6515
作る,214,13,518.6515
余り,214,13,518.6515
あれ,214,13,518.6515
万,214,13,518.6515
金,214,13,518.6515
五十,214,13,518.6515
声,214,13,518.6515
マンション,214,13,518.6515
ほら,223,12,478.7552
気,223,12,478.7552
彼処,223,12,478.7552
普通,223,12,478.7552
知れる,223,12,478.7552
一人,223,12,478.7552
何方,223,12,478.7552
最後,223,12,478.7552
枚,223,12,478.7552
日曜,223,12,478.7552
アップ,223,12,478.7552
形式,223,12,478.7552
レンズ,223,12,478.7552
家,236,11,438.859
確か,236,11,438.859
一緒,236,11,438.859
嫌,236,11,438.859
ちゃんと,236,11,438.859
さっき,236,11,438.859
歩く,236,11,438.859
貸す,236,11,438.859
当日,236,11,438.859
木曜,236,11,438.859
レンタル,236,11,438.859
半纏,236,11,438.859
ちゃん,248,10,398.9627
自分,248,10,398.9627
未だ,248,10,398.9627
別,248,10,398.9627
御免,248,10,398.9627
より,248,10,398.9627
結局,248,10,398.9627
欲しい,248,10,398.9627
オーケー,248,10,398.9627
長い,248,10,398.9627
ぽい,248,10,398.9627
予算,248,10,398.9627
ビデオ,248,10,398.9627
町会,248,10,398.9627
教会,248,10,398.9627
デビュー,248,10,398.9627
シライシ,248,10,398.9627
リョウヨン,248,10,398.9627
たり,266,9,359.0664
今日,266,9,359.0664
誰,266,9,359.0664
一番,266,9,359.0664
ずっと,266,9,359.0664
絶対,266,9,359.0664
終わる,266,9,359.0664
らしい,266,9,359.0664
分,266,9,359.0664
他,266,9,359.0664
無理,266,9,359.0664
や,266,9,359.0664
目,266,9,359.0664
唯,266,9,359.0664
写真,266,9,359.0664
因る,266,9,359.0664
今回,266,9,359.0664
渡す,266,9,359.0664
真ん中,266,9,359.0664
無し,266,9,359.0664
区,266,9,359.0664
参加,266,9,359.0664
返す,266,9,359.0664
テキスト,266,9,359.0664
イシイ,266,9,359.0664
連合,266,9,359.0664
講,266,9,359.0664
天神,266,9,359.0664
ツダ,266,9,359.0664
三脚,266,9,359.0664
塚,266,9,359.0664
ステレオ,266,9,359.0664
おお,298,8,319.1702
辺,298,8,319.1702
最初,298,8,319.1702
せる,298,8,319.1702
もっと,298,8,319.1702
あー,298,8,319.1702
侭,298,8,319.1702
若し,298,8,319.1702
忘れる,298,8,319.1702
問題,298,8,319.1702
,298,8,319.1702
去年,298,8,319.1702
動く,298,8,319.1702
箇月,298,8,319.1702
毎日,298,8,319.1702
週,298,8,319.1702
きつい,298,8,319.1702
用意,298,8,319.1702
九百,298,8,319.1702
嫁,298,8,319.1702
肩,298,8,319.1702
緊張,298,8,319.1702
休憩,298,8,319.1702
募集,298,8,319.1702
シブヤ,298,8,319.1702
ラウンド,298,8,319.1702
わ,324,7,279.2739
六,324,7,279.2739
考える,324,7,279.2739
上げる,324,7,279.2739
多い,324,7,279.2739
御座る,324,7,279.2739
百,324,7,279.2739
変わる,324,7,279.2739
色々,324,7,279.2739
例えば,324,7,279.2739
御前,324,7,279.2739
二人,324,7,279.2739
今度,324,7,279.2739
安い,324,7,279.2739
朝,324,7,279.2739
取り敢えず,324,7,279.2739
今年,324,7,279.2739
関係,324,7,279.2739
茶,324,7,279.2739
九,324,7,279.2739
分,324,7,279.2739
三,324,7,279.2739
どんどん,324,7,279.2739
楽,324,7,279.2739
どんな,324,7,279.2739
実際,324,7,279.2739
払う,324,7,279.2739
菓子,324,7,279.2739
イベント,324,7,279.2739
土曜,324,7,279.2739
管理,324,7,279.2739
運営,324,7,279.2739
地方,324,7,279.2739
鉛筆,324,7,279.2739
御輿,324,7,279.2739
アオキ,324,7,279.2739
クリハラ,324,7,279.2739
コヤマ,324,7,279.2739
ガン,324,7,279.2739
ダジャラー,324,7,279.2739
望遠,324,7,279.2739
良く,365,6,239.3776
面白い,365,6,239.3776
方,365,6,239.3776
掛かる,365,6,239.3776
意味,365,6,239.3776
直ぐ,365,6,239.3776
どうぞ,365,6,239.3776
此の間,365,6,239.3776
名前,365,6,239.3776
明日,365,6,239.3776
喋る,365,6,239.3776
四十,365,6,239.3776
中々,365,6,239.3776
受ける,365,6,239.3776
決める,365,6,239.3776
中,365,6,239.3776
ずつ,365,6,239.3776
暑い,365,6,239.3776
空く,365,6,239.3776
沢山,365,6,239.3776
張る,365,6,239.3776
練習,365,6,239.3776
回す,365,6,239.3776
報告,365,6,239.3776
数,365,6,239.3776
号,365,6,239.3776
地区,365,6,239.3776
動かす,365,6,239.3776
箱,365,6,239.3776
組む,365,6,239.3776
投げる,365,6,239.3776
フォロー,365,6,239.3776
レコーダー,365,6,239.3776
警備,365,6,239.3776
用紙,365,6,239.3776
獅子,365,6,239.3776
頭,365,6,239.3776
エイタ,365,6,239.3776
コイケ,365,6,239.3776
ユンケル,365,6,239.3776
有り難う,405,5,199.4813
こんな,405,5,199.4813
旨い,405,5,199.4813
一,405,5,199.4813
付ける,405,5,199.4813
同じ,405,5,199.4813
御,405,5,199.4813
逆,405,5,199.4813
食う,405,5,199.4813
仕舞う,405,5,199.4813
顔,405,5,199.4813
番,405,5,199.4813
必要,405,5,199.4813
送る,405,5,199.4813
高校,405,5,199.4813
頭,405,5,199.4813
者,405,5,199.4813
千,405,5,199.4813
形,405,5,199.4813
若い,405,5,199.4813
回る,405,5,199.4813
以上,405,5,199.4813
殆ど,405,5,199.4813
実,405,5,199.4813
音,405,5,199.4813
世界,405,5,199.4813
後ろ,405,5,199.4813
うー,405,5,199.4813
広い,405,5,199.4813
居る,405,5,199.4813
止める,405,5,199.4813
絵,405,5,199.4813
月,405,5,199.4813
プラス,405,5,199.4813
ちょい,405,5,199.4813
メートル,405,5,199.4813
日程,405,5,199.4813
表,405,5,199.4813
曲がる,405,5,199.4813
から,405,5,199.4813
パターン,405,5,199.4813
会場,405,5,199.4813
ライブ,405,5,199.4813
らしい,405,5,199.4813
介護,405,5,199.4813
丁目,405,5,199.4813
講座,405,5,199.4813
断る,405,5,199.4813
コーラ,405,5,199.4813
希望,405,5,199.4813
集合,405,5,199.4813
おっと,405,5,199.4813
埋まる,405,5,199.4813
プラン,405,5,199.4813
合唱,405,5,199.4813
タイトル,405,5,199.4813
仮,405,5,199.4813
財布,405,5,199.4813
本社,405,5,199.4813
強制,405,5,199.4813
値,405,5,199.4813
追う,405,5,199.4813
ファイブ,405,5,199.4813
リング,405,5,199.4813
スクリーン,405,5,199.4813
キャノン,405,5,199.4813
題,405,5,199.4813
ヤマウチ,405,5,199.4813
ウチヤマ,405,5,199.4813
賞品,405,5,199.4813
洒落,405,5,199.4813
奉納,405,5,199.4813
コネクター,405,5,199.4813
寄り,405,5,199.4813
暑中,405,5,199.4813
実踏,405,5,199.4813
ないせす,405,5,199.4813
尿酸,405,5,199.4813
認サポ,405,5,199.4813
博覧,405,5,199.4813
町巡り,405,5,199.4813
マミコ,405,5,199.4813
飲む,487,4,159.5851
