word,rank,freq,pmw
だ,1,6262,50762.8204
うん,2,5080,41180.953
ね,3,3036,24611.294
た,4,2604,21109.2917
て,5,2590,20995.8008
の,6,2550,20671.5414
そう,7,2533,20533.7311
の,8,2042,16553.4461
か,9,2015,16334.5709
で,10,1993,16156.2282
,11,1980,16050.8439
に,12,1969,15961.6725
は,13,1864,15110.4914
よ,14,1862,15094.2784
が,15,1825,14794.3384
も,16,1816,14721.38
何,17,1784,14461.9725
と,18,1764,14299.8427
ない,19,1438,11657.128
てる,20,1404,11381.5075
って,21,1380,11186.9518
為る,22,1373,11130.2064
言う,23,1260,10214.1734
良い,23,1260,10214.1734
から,25,1239,10043.9372
無い,26,1227,9946.6593
か,27,1157,9379.2052
です,28,1076,8722.5798
此れ,29,978,7928.1441
で,30,960,7782.2273
あっ,31,889,7206.6668
あの,32,842,6825.6619
其れ,33,841,6817.5554
けれど,34,833,6752.7035
はい,35,818,6631.1062
を,35,818,6631.1062
の,37,780,6323.0597
有る,38,747,6055.5456
な,39,706,5723.1797
ああ,40,705,5715.0732
行く,41,666,5398.9202
もう,42,646,5236.7905
さ,43,624,5058.4478
まあ,44,608,4928.744
遣る,45,563,4563.9521
一寸,46,554,4490.9937
思う,47,487,3947.8591
一,48,447,3623.5996
御,49,445,3607.3866
成る,50,429,3477.6828
いや,51,421,3412.8309
ます,52,418,3388.5115
事,53,412,3339.8726
えっ,54,384,3112.8909
と,55,380,3080.465
ちゃう,56,369,2991.2936
其の,56,369,2991.2936
みたい,58,366,2966.9742
分かる,59,362,2934.5482
つう,60,352,2853.4834
じゃん,61,339,2748.099
十,62,335,2715.6731
二,63,329,2667.0342
さん,64,323,2618.3952
こう,65,322,2610.2888
来る,66,315,2553.5433
から,67,309,2504.9044
彼れ,68,302,2448.159
見る,69,301,2440.0525
,70,287,2326.5617
ば,71,283,2294.1358
此処,72,277,2245.4968
凄い,73,273,2213.0709
時,74,269,2180.645
本当,75,268,2172.5385
此の,75,268,2172.5385
人,77,267,2164.432
今,78,261,2115.7931
私,79,252,2042.8347
ええ,80,245,1986.0893
くらい,81,240,1945.5568
どう,82,233,1888.8114
ちゃん,82,233,1888.8114
方,82,233,1888.8114
三,85,223,1807.7466
違う,86,222,1799.6401
出来る,87,212,1718.5752
たい,88,211,1710.4687
後,89,203,1645.6168
居る,90,189,1532.126
し,90,189,1532.126
時,92,188,1524.0195
だけ,93,186,1507.8065
矢張り,94,181,1467.2741
け,95,178,1442.9547
奴,96,173,1402.4222
四,97,171,1386.2092
感じ,98,169,1369.9963
使う,98,169,1369.9963
大丈夫,100,167,1353.7833
ん,101,166,1345.6768
其処,102,163,1321.3574
入れる,103,160,1297.0379
何処,104,156,1264.6119
万,105,149,1207.8665
えーと,106,147,1191.6536
出る,107,143,1159.2276
多分,107,143,1159.2276
ほら,109,142,1151.1211
入る,110,140,1134.9082
取る,110,140,1134.9082
五,112,139,1126.8017
ふん,113,138,1118.6952
その,113,138,1118.6952
所,115,137,1110.5887
円,116,134,1086.2692
八,117,133,1078.1627
とく,118,132,1070.0563
食べる,119,130,1053.8433
ず,119,130,1053.8433
作る,119,130,1053.8433
駄目,122,128,1037.6303
此方,123,127,1029.5238
れる,124,124,1005.2044
俺,125,123,997.0979
や,126,122,988.9914
結構,127,121,980.8849
全然,127,121,980.8849
所,129,119,964.6719
未だ,129,119,964.6719
別,129,119,964.6719
まで,132,117,948.459
書く,133,115,932.246
家,133,115,932.246
六,135,114,924.1395
様,136,112,907.9265
もの,137,109,883.6071
話,137,109,883.6071
前,139,108,875.5006
君,140,106,859.2876
九,140,106,859.2876
母,142,105,851.1811
日,143,102,826.8617
へえ,144,101,818.7552
百,144,101,818.7552
そんな,146,100,810.6487
二十,146,100,810.6487
何,148,98,794.4357
皆,149,96,778.2227
つ,149,96,778.2227
そう,149,96,778.2227
中,149,96,778.2227
買う,153,95,770.1162
訳,154,93,753.9033
呉れる,154,93,753.9033
物,154,93,753.9033
