word,rank,freq,pmw
うん,1,18526,54331.7917
だ,2,16809,49296.291
ね,3,9836,28846.3512
た,4,9193,26960.6046
て,5,7663,22473.5248
そう,6,7627,22367.9464
の,7,7357,21576.1088
,8,6010,17625.7189
よ,9,5722,16781.0921
の,10,5339,15657.8558
が,11,5171,15165.1568
で,12,5168,15156.3586
か,13,5133,15053.713
も,14,4897,14361.5883
に,15,4776,14006.7277
てる,16,4764,13971.5349
は,17,4557,13364.4594
何,18,4344,12739.7875
と,19,4212,12352.6669
って,20,4199,12314.5414
ない,21,4128,12106.3174
言う,22,3537,10373.0728
から,22,3537,10373.0728
あっ,24,3276,9607.6298
為る,25,3263,9569.5043
ああ,26,3133,9188.2491
か,27,2797,8202.8512
無い,28,2652,7777.6051
です,29,2597,7616.3048
の,30,2547,7469.6682
良い,31,2473,7252.6461
あの,32,2301,6748.2162
で,33,2262,6633.8396
けれど,34,2164,6346.4319
其れ,35,2131,6249.6517
行く,36,2085,6114.7461
此れ,37,2027,5944.6476
もう,38,2023,5932.9167
さ,39,2004,5877.1948
な,40,1995,5850.8002
有る,41,1951,5721.76
御,42,1912,5607.3834
さん,43,1431,4196.7394
遣る,44,1420,4164.4793
を,45,1409,4132.2193
来る,46,1397,4097.0265
ちゃう,47,1351,3962.1208
成る,48,1303,3821.3497
はい,49,1275,3739.2332
彼れ,50,1206,3536.8747
凄い,51,1191,3492.8837
思う,52,1187,3481.1528
ます,53,1117,3275.8616
いや,54,1110,3255.3324
人,55,1103,3234.8033
ちゃん,56,1048,3073.5031
まあ,57,1047,3070.5703
ふん,58,1026,3008.983
一寸,59,1023,3000.1848
つう,60,1017,2982.5884
えっ,61,1007,2953.2611
事,62,930,2727.4407
と,63,929,2724.508
本当,64,896,2627.7278
其の,65,876,2569.0732
分かる,66,865,2536.8131
一,67,833,2442.9657
,68,826,2422.4366
居る,69,822,2410.7056
から,70,821,2407.7729
みたい,71,811,2378.4456
こう,72,783,2296.3291
食べる,73,755,2214.2126
ええ,74,735,2155.558
見る,74,735,2155.558
今,76,728,2135.0288
私,77,723,2120.3652
じゃん,78,718,2105.7015
ん,79,693,2032.3832
へえ,80,678,1988.3922
時,81,652,1912.1412
くらい,82,645,1891.6121
違う,83,625,1832.9575
どう,84,606,1777.2355
美味しい,85,586,1718.5809
方,86,545,1598.3389
矢張り,87,528,1548.4825
れる,88,527,1545.5497
此の,89,513,1504.4915
もの,90,493,1445.8368
ほら,91,469,1375.4513
二,92,464,1360.7876
け,93,458,1343.1912
し,94,451,1322.6621
出る,95,442,1296.2675
皆,96,440,1290.402
ば,97,435,1275.7384
だけ,97,435,1275.7384
此処,99,433,1269.8729
入る,100,427,1252.2765
後,101,422,1237.6129
三,101,422,1237.6129
其処,103,413,1211.2183
ず,104,410,1202.4201
飲む,105,401,1176.0255
買う,106,389,1140.8327
奴,107,381,1117.3709
彼の,108,377,1105.6399
全然,109,374,1096.8417
貰う,109,374,1096.8417
取る,111,366,1073.3799
まで,112,364,1067.5144
たい,113,357,1046.9853
俺,114,355,1041.1198
何処,115,353,1035.2544
前,116,352,1032.3216
持つ,117,347,1017.658
所,117,347,1017.658
十,119,346,1014.7252
出来る,120,338,991.2634
その,121,333,976.5997
家,121,333,976.5997
そんな,123,330,967.8015
年,123,330,967.8015
感じ,125,327,959.0033
駄目,126,320,938.4742
多分,127,318,932.6088
わ,127,318,932.6088
彼処,127,318,932.6088
知る,130,316,926.7433
呉れる,131,304,891.5505
結構,132,297,871.0214
入れる,132,297,871.0214
此方,134,296,868.0887
訳,135,295,865.1559
未だ,136,294,862.2232
大丈夫,137,292,856.3577
作る,138,268,785.9722
達,139,267,783.0394
聞く,140,262,768.3758
全部,141,258,756.6448
良く,142,252,739.0484
たり,143,249,730.2503
そんな,143,249,730.2503
有り難う,145,247,724.3848
婆,146,246,721.4521
円,147,244,715.5866
回,148,243,712.6539
誰,149,242,709.7211
何,150,239,700.9229
おお,150,239,700.9229
話,152,237,695.0575
えーと,153,236,692.1247
又,154,235,689.192
五,155,232,680.3938
使う,156,231,677.4611
所,156,231,677.4611
自分,156,231,677.4611
好き,159,230,674.5283
様,160,228,668.6629
とく,161,225,659.8647
てく,162,223,653.9992
今日,163,221,648.1338
余り,164,211,618.8064
置く,164,211,618.8064
返る,166,210,615.8737
しか,167,209,612.941
あれ,168,208,610.0082
そう,169,206,604.1428
先生,170,203,595.3446
普通,171,201,589.4791
はあ,172,199,583.6137
時,173,197,577.7482
四,174,195,571.8827
何時,175,193,566.0173
上げる,176,192,563.0845
大変,176,192,563.0845
人,178,191,560.1518
頂く,178,191,560.1518
つ,180,188,551.3536
嫌,181,185,542.5554
書く,182,184,539.6227
出す,182,184,539.6227
なんか,184,183,536.6899
物,185,172,504.4299
んー,186,170,498.5644
個,186,170,498.5644
一緒,188,169,495.6317
大きい,189,168,492.699
御免,190,166,486.8335
気,191,165,483.9008
ずっと,191,165,483.9008
日,193,162,475.1026
六,193,162,475.1026
昔,193,162,475.1026
成る程,196,161,472.1698
別,197,160,469.2371
八,198,157,460.4389
多い,198,157,460.4389
日本,198,157,460.4389
付く,198,157,460.4389
確か,202,155,454.5734
君,203,154,451.6407
一番,203,154,451.6407
一杯,203,154,451.6407
百,206,153,448.708
中,207,151,442.8425
可愛い,207,151,442.8425
月,209,150,439.9098
られる,210,149,436.9771
僕,211,142,416.4479
高い,211,142,416.4479
一人,213,141,413.5152
乗る,214,140,410.5825
んー,215,138,404.717
御座る,215,138,404.717
様,215,138,404.717
物,218,137,401.7843
父,218,137,401.7843
怖い,220,135,395.9188
ちゃんと,221,133,390.0533
万,221,133,390.0533
らしい,221,133,390.0533
待つ,224,132,387.1206
覚える,224,132,387.1206
二十,226,131,384.1879
知れる,226,131,384.1879
時間,228,130,381.2552
上,229,129,378.3224
早い,229,129,378.3224
掛かる,229,129,378.3224
子,232,128,375.3897
悪い,232,128,375.3897
へ,232,128,375.3897
カオ,232,128,375.3897
家,236,127,372.457
こんな,237,126,369.5242
小さい,237,126,369.5242
あら,237,126,369.5242
売る,237,126,369.5242
次,241,125,366.5915
今度,242,123,360.726
どうぞ,242,123,360.726
電話,244,122,357.7933
色々,245,121,354.8606
見える,245,121,354.8606
なんて,245,121,354.8606
写真,245,121,354.8606
辺,249,120,351.9278
絶対,250,117,343.1296
一,250,117,343.1296
バス,250,117,343.1296
下さる,253,116,340.1969
済む,253,116,340.1969
此の間,253,116,340.1969
掛ける,256,115,337.2642
茶,256,115,337.2642
より,258,113,331.3987
えー,259,110,322.6005
直ぐ,259,110,322.6005
爺,259,110,322.6005
七,262,109,319.6678
大体,262,109,319.6678
ママ,262,109,319.6678
変わる,265,108,316.735
子供,266,106,310.8696
歳,266,106,310.8696
面白い,268,105,307.9369
屋,269,104,305.0041
おっ,269,104,305.0041
友達,269,104,305.0041
母,272,103,302.0714
旨い,272,103,302.0714
パパ,272,103,302.0714
昨日,275,102,299.1387
要る,276,100,293.2732
下,276,100,293.2732
三十,276,100,293.2732
あー,276,100,293.2732
二人,276,100,293.2732
車,276,100,293.2732
タケ,276,100,293.2732
もっと,283,99,290.3405
最近,283,99,290.3405
歩く,283,99,290.3405
色んな,286,98,287.4077
六十,286,98,287.4077
最初,288,97,284.475
付ける,288,97,284.475
御飯,288,97,284.475
学校,291,96,281.5423
内,291,96,281.5423
切る,291,96,281.5423
日,291,96,281.5423
や,295,95,278.6095
結局,295,95,278.6095
欲しい,295,95,278.6095
ユキ,295,95,278.6095
止める,299,94,275.6768
さっき,299,94,275.6768
や,299,94,275.6768
為さる,299,94,275.6768
仕事,303,92,269.8113
金,303,92,269.8113
味,303,92,269.8113
枚,306,91,266.8786
ううん,306,91,266.8786
的,308,90,263.9459
何方,308,90,263.9459
五十,308,90,263.9459
方,311,89,261.0131
過ぎる,311,89,261.0131
寝る,311,89,261.0131
トウキョウ,311,89,261.0131
終わる,315,87,255.1477
朝,315,87,255.1477
番,315,87,255.1477
二,318,86,252.2149
教える,318,86,252.2149
送る,318,86,252.2149
ビール,318,86,252.2149
忘れる,322,85,249.2822
嘘,322,85,249.2822
奇麗,324,84,246.3495
考える,325,83,243.4168
風,325,83,243.4168
死ぬ,325,83,243.4168
御,328,82,240.484
同じ,329,81,237.5513
会社,329,81,237.5513
若い,329,81,237.5513
安い,332,80,234.6186
やばい,333,79,231.6858
会う,333,79,231.6858
何れ,333,79,231.6858
八十,333,79,231.6858
マリ,333,79,231.6858
意味,338,78,228.7531
読む,338,78,228.7531
どんどん,338,78,228.7531
回る,338,78,228.7531
結婚,338,78,228.7531
貴方,343,77,225.8204
こんな,343,77,225.8204
よいしょ,345,76,222.8876
伯父,345,76,222.8876
生,347,75,219.9549
目,347,75,219.9549
頃,347,75,219.9549
九,347,75,219.9549
彼方,347,75,219.9549
分,352,74,217.0222
其方,352,74,217.0222
丁度,352,74,217.0222
びっくり,352,74,217.0222
座る,352,74,217.0222
立てる,352,74,217.0222
無理,358,73,214.0894
動く,358,73,214.0894
雪,358,73,214.0894
日,361,72,211.1567
等,361,72,211.1567
顔,361,72,211.1567
中々,361,72,211.1567
勝つ,361,72,211.1567
伯母,366,71,208.224
高校,367,70,205.2912
御前,368,69,202.3585
向こう,368,69,202.3585
取れる,368,69,202.3585
声,368,69,202.3585
たって,368,69,202.3585
,368,69,202.3585
名前,374,68,199.4258
聞こえる,374,68,199.4258
温泉,374,68,199.4258
ながら,377,67,196.493
野菜,377,67,196.493
山,377,67,196.493
式,377,67,196.493
一応,381,66,193.5603
会,381,66,193.5603
急度,381,66,193.5603
無くなる,381,66,193.5603
肉,381,66,193.5603
泊まる,381,66,193.5603
変,387,65,190.6276
本,387,65,190.6276
七十,387,65,190.6276
ノビ,387,65,190.6276
侭,391,64,187.6948
ばかり,391,64,187.6948
一杯,391,64,187.6948
他,394,63,184.7621
店,394,63,184.7621
可笑しい,394,63,184.7621
館,394,63,184.7621
アイヌ,394,63,184.7621
目茶,399,62,181.8294
最後,399,62,181.8294
上がる,399,62,181.8294
市,399,62,181.8294
目,403,61,178.8966
唯,403,61,178.8966
ああ,403,61,178.8966
人,403,61,178.8966
危ない,403,61,178.8966
ワイン,403,61,178.8966
長い,409,60,175.9639
千,409,60,175.9639
仕様,409,60,175.9639
初めて,409,60,175.9639
手,413,59,173.0312
近い,413,59,173.0312
元気,413,59,173.0312
うわ,416,58,170.0985
喋る,416,58,170.0985
寒い,416,58,170.0985
男,416,58,170.0985
痛い,420,57,167.1657
語,420,57,167.1657
度,420,57,167.1657
パン,420,57,167.1657
着る,420,57,167.1657
偉い,420,57,167.1657
先,426,56,164.233
四十,426,56,164.233
呼ぶ,426,56,164.233
かしら,426,56,164.233
旅行,426,56,164.233
若し,431,55,161.3003
時代,431,55,161.3003
少ない,431,55,161.3003
少し,431,55,161.3003
奥,431,55,161.3003
打つ,431,55,161.3003
洗う,431,55,161.3003
先ず,438,54,158.3675
さ,438,54,158.3675
沢山,438,54,158.3675
今年,441,53,155.4348
楽しい,441,53,155.4348
変える,441,53,155.4348
超,441,53,155.4348
殆ど,441,53,155.4348
困る,441,53,155.4348
食う,447,52,152.5021
頑張る,447,52,152.5021
三,447,52,152.5021
同じ,447,52,152.5021
よし,447,52,152.5021
御腹,447,52,152.5021
生きる,447,52,152.5021
音,447,52,152.5021
嬉しい,447,52,152.5021
皿,447,52,152.5021
合う,457,51,149.5693
面倒,457,51,149.5693
残る,457,51,149.5693
開ける,457,51,149.5693
降る,457,51,149.5693
まじ,462,50,146.6366
オーケー,462,50,146.6366
ぽい,462,50,146.6366
難しい,465,49,143.7039
大学,465,49,143.7039
うんと,465,49,143.7039
親,465,49,143.7039
始める,465,49,143.7039
体,465,49,143.7039
段々,465,49,143.7039
関係,472,48,140.7711
方,472,48,140.7711
甘い,472,48,140.7711
料理,472,48,140.7711
せる,476,47,137.8384
例えば,476,47,137.8384
為,476,47,137.8384
因る,476,47,137.8384
勿論,476,47,137.8384
見せる,476,47,137.8384
臭い,476,47,137.8384
二千,476,47,137.8384
機,476,47,137.8384
走る,476,47,137.8384
ホテル,476,47,137.8384
年,476,47,137.8384
島,476,47,137.8384
話す,489,46,134.9057
去年,489,46,134.9057
受ける,489,46,134.9057
新しい,489,46,134.9057
小,489,46,134.9057
通る,489,46,134.9057
キロ,489,46,134.9057
毎日,489,46,134.9057
病院,489,46,134.9057
泊,489,46,134.9057
ジュース,489,46,134.9057
ほう,500,45,131.9729
強い,500,45,131.9729
,500,45,131.9729
七,500,45,131.9729
落ちる,500,45,131.9729
住む,500,45,131.9729
幾ら,500,45,131.9729
楽,500,45,131.9729
九十,500,45,131.9729
辛い,500,45,131.9729
カード,500,45,131.9729
易い,511,44,129.0402
分,511,44,129.0402
駅,511,44,129.0402
気持ち,511,44,129.0402
車,511,44,129.0402
テレビ,511,44,129.0402
中国,511,44,129.0402
煩い,511,44,129.0402
混む,511,44,129.0402
逆,520,43,126.1075
以上,520,43,126.1075
五百,520,43,126.1075
止まる,520,43,126.1075
本人,520,43,126.1075
近く,520,43,126.1075
昭和,520,43,126.1075
寺,520,43,126.1075
羊,520,43,126.1075
九,529,42,123.1747
暑い,529,42,123.1747
払う,529,42,123.1747
ホッカイドウ,529,42,123.1747
胡瓜,529,42,123.1747
仕舞う,534,41,120.242
夜,534,41,120.242
