word,rank,freq,pmw
うん,1,19795,51111.4382
だ,2,19180,49523.4849
ね,3,10805,27898.9184
た,4,10281,26545.9306
て,5,8972,23166.0431
の,6,8410,21714.9379
そう,7,8330,21508.3748
,8,6658,17191.2076
よ,9,6338,16364.9556
の,10,6007,15510.301
で,11,5969,15412.1836
が,12,5882,15187.5463
か,13,5759,14869.9557
も,14,5547,14322.5637
に,15,5521,14255.4307
てる,16,5258,13576.3547
は,17,5227,13496.3116
何,18,4979,12855.9662
ない,19,4710,12161.398
って,20,4705,12148.4878
と,21,4687,12102.0111
言う,22,3917,10113.842
から,23,3899,10067.3654
あっ,24,3797,9803.9975
為る,25,3791,9788.5053
ああ,26,3522,9093.9371
か,27,3398,8773.7644
無い,28,3075,7939.7662
良い,29,2952,7622.1756
です,30,2943,7598.9372
此れ,31,2901,7490.4916
の,32,2882,7441.4329
で,33,2531,6535.1377
けれど,34,2463,6359.5591
あの,35,2448,6320.8285
其れ,36,2389,6168.4883
な,37,2357,6085.8631
もう,38,2288,5907.7025
行く,39,2267,5853.4797
さ,40,2244,5794.0928
有る,41,2211,5708.8856
御,42,2144,5535.889
を,43,1715,4428.1948
遣る,44,1696,4379.1361
ちゃう,45,1602,4136.4245
成る,46,1571,4056.3814
来る,47,1566,4043.4712
さん,48,1560,4027.979
はい,49,1445,3731.0446
思う,50,1367,3529.6457
ます,51,1317,3400.5438
彼れ,51,1317,3400.5438
凄い,53,1296,3346.321
一寸,54,1214,3134.5939
えっ,54,1214,3134.5939
まあ,56,1198,3093.2813
いや,57,1185,3059.7148
ちゃん,58,1181,3049.3866
人,59,1179,3044.2226
つう,60,1133,2925.4488
ふん,61,1096,2829.9134
一,62,1093,2822.1673
事,63,1078,2783.4367
と,64,1062,2742.1241
こう,64,1062,2742.1241
本当,66,995,2569.1276
,67,975,2517.4869
其の,68,964,2489.0844
分かる,69,945,2440.0257
みたい,70,939,2424.5335
から,71,921,2378.0568
居る,72,901,2326.4161
私,73,840,2168.9117
ええ,74,832,2148.2554
じゃん,75,828,2137.9273
見る,76,822,2122.4351
今,77,790,2039.8099
食べる,78,778,2008.8254
ん,79,764,1972.6769
違う,80,748,1931.3643
くらい,81,745,1923.6182
どう,82,743,1918.4541
へえ,83,740,1910.708
時,84,727,1877.1415
此の,85,707,1825.5007
方,86,640,1652.5042
此処,87,635,1639.594
二,88,630,1626.6838
美味しい,89,610,1575.0431
矢張り,90,567,1464.0154
ほら,91,566,1461.4334
ば,92,564,1456.2693
もの,93,562,1451.1052
れる,94,559,1443.3591
だけ,95,540,1394.3004
け,96,518,1337.4956
し,97,516,1332.3315
入る,98,515,1329.7495
出る,99,507,1309.0932
三,100,487,1257.4524
十,101,474,1223.8859
其処,102,472,1218.7218
皆,103,469,1210.9757
後,104,466,1203.2296
奴,105,463,1195.4835
ず,106,453,1169.6631
貰う,107,442,1141.2607
買う,108,438,1130.9326
入れる,109,434,1120.6044
持つ,110,419,1081.8738
全然,111,411,1061.2175
飲む,111,411,1061.2175
出来る,113,409,1056.0535
何処,113,409,1056.0535
たい,115,408,1053.4714
取る,116,407,1050.8894
彼の,117,405,1045.7253
まで,118,399,1030.2331
所,119,389,1004.4127
感じ,120,388,1001.8307
そんな,121,383,988.9205
駄目,122,379,978.5923
多分,123,378,976.0103
前,123,378,976.0103
此方,125,372,960.5181
作る,126,369,952.7719
大丈夫,127,368,950.1899
家,128,367,947.6079
俺,129,361,932.1156
使う,130,354,914.0414
わ,131,353,911.4593
知る,132,346,893.3851
未だ,133,345,890.803
その,134,344,888.221
年,135,337,870.1467
呉れる,136,336,867.5647
彼処,137,330,852.0725
結構,138,323,833.9982
訳,139,317,818.506
回,140,281,725.5526
そんな,141,280,722.9706
とく,141,280,722.9706
様,143,279,720.3885
又,143,279,720.3885
全部,145,278,717.8065
達,146,277,715.2245
五,147,275,710.0604
婆,148,274,707.4784
えーと,149,273,704.8963
たり,149,273,704.8963
円,149,273,704.8963
四,152,270,697.1502
所,153,269,694.5682
はあ,153,269,694.5682
聞く,153,269,694.5682
何,156,266,686.8221
良く,157,265,684.24
有り難う,158,264,681.658
てく,159,262,676.4939
あれ,160,257,663.5837
自分,161,255,658.4196
誰,162,253,653.2556
置く,163,252,650.6735
おお,164,249,642.9274
好き,164,249,642.9274
余り,166,247,637.7633
今日,166,247,637.7633
そう,168,242,624.8531
話,169,241,622.2711
書く,170,230,593.8687
上げる,170,230,593.8687
時,172,229,591.2867
つ,173,227,586.1226
返る,174,226,583.5405
しか,175,223,575.7944
普通,176,218,562.8842
嫌,177,214,552.5561
何時,178,213,549.9741
大変,179,212,547.392
物,180,211,544.81
頂く,180,211,544.81
先生,182,208,537.0639
個,183,204,526.7357
出す,184,202,521.5716
二十,185,200,516.4076
気,186,199,513.8255
切る,186,199,513.8255
大きい,188,196,506.0794
人,189,195,503.4974
御免,189,195,503.4974
んー,191,193,498.3333
確か,192,191,493.1692
なんか,193,190,490.5872
中,194,188,485.4231
別,194,188,485.4231
付く,196,183,472.5129
待つ,197,182,469.9309
成る程,198,181,467.3488
昔,198,181,467.3488
一緒,200,180,464.7668
ずっと,200,180,464.7668
六,202,179,462.1848
八,203,178,459.6027
百,204,176,454.4387
こんな,204,176,454.4387
掛かる,206,175,451.8566
一杯,207,169,436.3644
日,208,168,433.7823
一番,208,168,433.7823
られる,208,168,433.7823
多い,208,168,433.7823
高い,212,165,426.0362
可愛い,212,165,426.0362
君,214,164,423.4542
んー,214,164,423.4542
時間,216,160,413.126
上,216,160,413.126
日本,216,160,413.126
怖い,216,160,413.126
物,220,158,407.962
小さい,220,158,407.962
月,222,157,405.3799
今度,223,155,400.2159
知れる,224,150,387.3057
御座る,225,149,384.7236
一人,225,149,384.7236
乗る,225,149,384.7236
あら,225,149,384.7236
父,229,148,382.1416
済む,230,146,376.9775
母,230,146,376.9775
らしい,232,145,374.3955
ちゃんと,233,144,371.8134
早い,233,144,371.8134
枚,233,144,371.8134
子,236,143,369.2314
僕,236,143,369.2314
要る,236,143,369.2314
次,239,141,364.0673
家,239,141,364.0673
掛ける,239,141,364.0673
様,239,141,364.0673
写真,243,139,358.9033
下さる,244,138,356.3212
覚える,244,138,356.3212
ママ,244,138,356.3212
此の間,244,138,356.3212
へ,244,138,356.3212
万,249,136,351.1571
一,250,135,348.5751
どうぞ,250,135,348.5751
売る,250,135,348.5751
爺,250,135,348.5751
色々,254,134,345.9931
絶対,255,133,343.411
下,256,132,340.829
悪い,257,131,338.247
面白い,258,130,335.6649
より,259,128,330.5008
パパ,259,128,330.5008
電話,259,128,330.5008
カオ,259,128,330.5008
えー,263,126,325.3368
付ける,263,126,325.3368
見える,263,126,325.3368
なんて,263,126,325.3368
六十,263,126,325.3368
辺,268,123,317.5906
直ぐ,268,123,317.5906
茶,270,119,307.2625
最初,271,117,302.0984
友達,271,117,302.0984
バス,271,117,302.0984
分,274,116,299.5164
子供,274,116,299.5164
おっ,274,116,299.5164
屋,277,115,296.9343
もっと,278,114,294.3523
結局,279,113,291.7703
七,279,113,291.7703
欲しい,279,113,291.7703
大体,282,112,289.1882
ユキ,282,112,289.1882
止める,284,111,286.6062
変わる,285,110,284.0242
昨日,285,110,284.0242
五十,285,110,284.0242
さっき,288,109,281.4421
あー,288,109,281.4421
や,288,109,281.4421
過ぎる,291,108,278.8601
目,291,108,278.8601
為さる,291,108,278.8601
旨い,294,107,276.278
三十,294,107,276.278
マリ,294,107,276.278
風,297,106,273.696
色んな,297,106,273.696
歳,297,106,273.696
同じ,300,105,271.114
日,301,104,268.5319
奇麗,301,104,268.5319
番,301,104,268.5319
的,304,103,265.9499
内,304,103,265.9499
重,304,103,265.9499
考える,307,102,263.3679
学校,307,102,263.3679
最近,307,102,263.3679
二人,307,102,263.3679
二,307,102,263.3679
捨てる,312,101,260.7858
何方,313,100,258.2038
車,313,100,258.2038
タケ,313,100,258.2038
や,316,99,255.6217
やばい,316,99,255.6217
金,316,99,255.6217
歩く,316,99,255.6217
本,316,99,255.6217
ううん,316,99,255.6217
嘘,316,99,255.6217
御飯,323,98,253.0397
方,324,97,250.4577
仕事,324,97,250.4577
寝る,324,97,250.4577
何れ,327,96,247.8756
味,328,95,245.2936
よいしょ,329,94,242.7116
終わる,330,92,237.5475
教える,330,92,237.5475
トウキョウ,332,91,234.9654
御,333,90,232.3834
貴方,333,90,232.3834
忘れる,333,90,232.3834
取れる,333,90,232.3834
回る,333,90,232.3834
安い,338,88,227.2193
朝,338,88,227.2193
送る,338,88,227.2193
びっくり,338,88,227.2193
八十,338,88,227.2193
意味,343,87,224.6373
変,343,87,224.6373
どんどん,343,87,224.6373
無理,346,86,222.0553
度,346,86,222.0553
九,346,86,222.0553
こんな,346,86,222.0553
ビール,346,86,222.0553
開ける,351,85,219.4732
会社,352,84,216.8912
読む,353,83,214.3091
其方,353,83,214.3091
死ぬ,353,83,214.3091
彼方,353,83,214.3091
動く,353,83,214.3091
侭,358,82,211.7271
目,358,82,211.7271
頃,358,82,211.7271
若い,358,82,211.7271
最後,362,81,209.1451
生,363,80,206.563
一応,363,80,206.563
ながら,363,80,206.563
会う,366,79,203.981
顔,367,78,201.3989
結婚,367,78,201.3989
日,369,77,198.8169
急度,369,77,198.8169
うわ,369,77,198.8169
丁度,369,77,198.8169
伯父,369,77,198.8169
立てる,369,77,198.8169
痛い,375,75,193.6528
中々,375,75,193.6528
座る,375,75,193.6528
雪,375,75,193.6528
目茶,379,74,191.0708
等,379,74,191.0708
千,379,74,191.0708
他,382,73,188.4888
向こう,382,73,188.4888
無くなる,382,73,188.4888
可笑しい,382,73,188.4888
伯母,382,73,188.4888
御前,387,72,185.9067
若し,387,72,185.9067
たって,387,72,185.9067
七十,387,72,185.9067
勝つ,387,72,185.9067
手,392,71,183.3247
洗う,392,71,183.3247
高校,394,70,180.7426
唯,395,69,178.1606
名前,395,69,178.1606
一杯,395,69,178.1606
声,395,69,178.1606
寒い,395,69,178.1606
聞こえる,395,69,178.1606
温泉,395,69,178.1606
,395,69,178.1606
長い,403,68,175.5786
上がる,403,68,175.5786
ワイン,403,68,175.5786
式,403,68,175.5786
会,407,67,172.9965
さ,407,67,172.9965
ばかり,407,67,172.9965
肉,407,67,172.9965
野菜,407,67,172.9965
館,407,67,172.9965
山,407,67,172.9965
泊まる,407,67,172.9965
ノビ,407,67,172.9965
先ず,416,66,170.4145
店,416,66,170.4145
近い,416,66,170.4145
パン,419,65,167.8325
危ない,419,65,167.8325
まじ,421,64,165.2504
難しい,421,64,165.2504
先,421,64,165.2504
ああ,421,64,165.2504
三,421,64,165.2504
生地,421,64,165.2504
少ない,427,63,162.6684
変える,427,63,162.6684
市,427,63,162.6684
アイヌ,427,63,162.6684
オーケー,431,62,160.0863
初めて,431,62,160.0863
打つ,431,62,160.0863
かしら,431,62,160.0863
ぽい,435,61,157.5043
人,435,61,157.5043
仕様,435,61,157.5043
同じ,435,61,157.5043
困る,435,61,157.5043
せる,440,60,154.9223
面倒,440,60,154.9223
残る,440,60,154.9223
元気,440,60,154.9223
偉い,440,60,154.9223
例えば,445,59,152.3402
喋る,445,59,152.3402
奥,445,59,152.3402
始める,445,59,152.3402
段々,445,59,152.3402
皿,445,59,152.3402
易い,451,58,149.7582
語,451,58,149.7582
楽しい,451,58,149.7582
呼ぶ,451,58,149.7582
臭い,451,58,149.7582
通る,451,58,149.7582
男,451,58,149.7582
因る,458,57,147.1762
四十,458,57,147.1762
合う,458,57,147.1762
よし,458,57,147.1762
新しい,458,57,147.1762
二千,458,57,147.1762
着る,458,57,147.1762
旅行,458,57,147.1762
降る,458,57,147.1762
鋏,458,57,147.1762
ほう,468,56,144.5941
頭,468,56,144.5941
時代,468,56,144.5941
少し,468,56,144.5941
超,468,56,144.5941
機,468,56,144.5941
体,468,56,144.5941
沢山,468,56,144.5941
食う,476,55,142.0121
頑張る,476,55,142.0121
為,476,55,142.0121
勿論,476,55,142.0121
殆ど,476,55,142.0121
今年,481,54,139.43
うんと,481,54,139.43
用,481,54,139.43
御腹,481,54,139.43
関係,485,53,136.848
七,485,53,136.848
料理,485,53,136.848
音,485,53,136.848
本,485,53,136.848
嬉しい,485,53,136.848
大学,491,52,134.266
分,491,52,134.266
忙しい,491,52,134.266
小,491,52,134.266
生きる,491,52,134.266
立つ,491,52,134.266
昭和,491,52,134.266
九,498,51,131.6839
方,498,51,131.6839
幾ら,498,51,131.6839
楽,498,51,131.6839
生,498,51,131.6839
九十,498,51,131.6839
縫う,498,51,131.6839
逆,505,50,129.1019
受ける,505,50,129.1019
色,505,50,129.1019
見せる,505,50,129.1019
落ちる,505,50,129.1019
甘い,505,50,129.1019
話す,511,49,126.5199
,511,49,126.5199
意外,511,49,126.5199
親,511,49,126.5199
住む,511,49,126.5199
暑い,511,49,126.5199
ホテル,511,49,126.5199
そして,511,49,126.5199
勿体,511,49,126.5199
ジュース,511,49,126.5199
願う,521,48,123.9378
強い,521,48,123.9378
水,521,48,123.9378
間,521,48,123.9378
テレビ,521,48,123.9378
怒る,521,48,123.9378
焼く,521,48,123.9378
病院,521,48,123.9378
マア,521,48,123.9378
明日,530,47,121.3558
夜,530,47,121.3558
四,530,47,121.3558
走る,530,47,121.3558
五百,530,47,121.3558
隣り,530,47,121.3558
止まる,530,47,121.3558
年,530,47,121.3558
止める,530,47,121.3558
島,530,47,121.3558
仕舞う,540,46,118.7737
去年,540,46,118.7737
気持ち,540,46,118.7737
わあ,540,46,118.7737
飛ぶ,540,46,118.7737
姉,540,46,118.7737
キロ,540,46,118.7737
毎日,540,46,118.7737
煩い,540,46,118.7737
泊,540,46,118.7737
決まる,550,45,116.1917
車,550,45,116.1917
払う,550,45,116.1917
辛い,550,45,116.1917
カード,550,45,116.1917
器,550,45,116.1917
形,556,44,113.6097
駅,556,44,113.6097
以上,556,44,113.6097
外,556,44,113.6097
戻る,556,44,113.6097
幾,556,44,113.6097
中国,556,44,113.6097
近く,556,44,113.6097
たら,556,44,113.6097
混む,556,44,113.6097
口,566,43,111.0276
本人,566,43,111.0276
貸す,566,43,111.0276
ホッカイドウ,566,43,111.0276
薄い,566,43,111.0276
寺,566,43,111.0276
羊,566,43,111.0276
足,573,42,108.4456
起きる,573,42,108.4456
ぞ,573,42,108.4456
似る,573,42,108.4456
キョウト,573,42,108.4456
真ん中,573,42,108.4456
県,573,42,108.4456
砂糖,573,42,108.4456
胡瓜,573,42,108.4456
ガス,573,42,108.4456
彼奴,583,41,105.8635
下りる,583,41,105.8635
張る,583,41,105.8635
塩,583,41,105.8635
オーブン,583,41,105.8635
ショウコ,583,41,105.8635
取り敢えず,589,40,103.2815
然も,589,40,103.2815
こそ,589,40,103.2815
階,589,40,103.2815
ずつ,589,40,103.2815
後ろ,589,40,103.2815
終わり,589,40,103.2815
嫌い,589,40,103.2815
酒,597,39,100.6995
園,597,39,100.6995
木,597,39,100.6995
半,600,38,98.1174
系,600,38,98.1174
選ぶ,600,38,98.1174
吸う,600,38,98.1174
大分,600,38,98.1174
休み,600,38,98.1174
熱い,600,38,98.1174
簡単,600,38,98.1174
弁当,600,38,98.1174
運転,600,38,98.1174
袋,600,38,98.1174
場合,611,37,95.5354
部,611,37,95.5354
遊ぶ,611,37,95.5354
中学,611,37,95.5354
直す,611,37,95.5354
ツアー,611,37,95.5354
煉瓦,611,37,95.5354
中,618,36,92.9534
押す,618,36,92.9534
調べる,618,36,92.9534
全く,618,36,92.9534
働く,618,36,92.9534
通り,618,36,92.9534
半分,618,36,92.9534
夏,618,36,92.9534
経つ,618,36,92.9534
間違える,618,36,92.9534
回す,618,36,92.9534
只,618,36,92.9534
湯,618,36,92.9534
必要,631,35,90.3713
部屋,631,35,90.3713
周り,631,35,90.3713
急,631,35,90.3713
ヨコハマ,631,35,90.3713
足りる,631,35,90.3713
可哀想,631,35,90.3713
匂い,631,35,90.3713
チーズ,631,35,90.3713
不味い,631,35,90.3713
切れる,631,35,90.3713
娘,631,35,90.3713
ゴム,631,35,90.3713
巻,631,35,90.3713
者,645,34,87.7893
いえ,645,34,87.7893
,645,34,87.7893
でかい,645,34,87.7893
電車,645,34,87.7893
馬鹿,645,34,87.7893
途中,645,34,87.7893
台,645,34,87.7893
略,645,34,87.7893
連れる,645,34,87.7893
過ぎ,645,34,87.7893
着く,645,34,87.7893
帰り,645,34,87.7893
サラダ,645,34,87.7893
場,645,34,87.7893
白い,645,34,87.7893
温かい,645,34,87.7893
酒,645,34,87.7893
亡くなる,645,34,87.7893
石,645,34,87.7893
タチカワ,645,34,87.7893
都市,645,34,87.7893
コウベ,645,34,87.7893
ゲンイチ,645,34,87.7893
彼,669,33,85.2072
借りる,669,33,85.2072
増える,669,33,85.2072
世界,669,33,85.2072
カメラ,669,33,85.2072
菓子,669,33,85.2072
必ず,669,33,85.2072
息子,669,33,85.2072
椅子,669,33,85.2072
家族,669,33,85.2072
上手,669,33,85.2072
合わせる,669,33,85.2072
有名,669,33,85.2072
落とす,669,33,85.2072
旦那,669,33,85.2072
開く,669,33,85.2072
地,669,33,85.2072
回忌,669,33,85.2072
失礼,687,32,82.6252
元々,687,32,82.6252
偶に,687,32,82.6252
道,687,32,82.6252
ほど,687,32,82.6252
