word,rank,freq,pmw
だ,1,53448,48068.509
うん,2,42599,38311.4506
ね,3,25192,22656.4488
の,4,25120,22591.6956
た,5,23853,21452.2179
て,6,23569,21196.8023
そう,7,20689,18606.6716
の,8,19669,17689.3336
,9,19589,17617.3855
は,10,18529,16664.0735
が,11,17576,15806.9921
で,12,17360,15612.7323
に,13,16322,14679.206
よ,14,16208,14576.68
と,15,15958,14351.8423
か,16,15694,14114.4136
です,17,15554,13988.5045
も,18,15350,13805.0369
てる,19,14304,12864.3158
言う,20,13713,12332.7994
って,21,13396,12047.7052
為る,22,12566,11301.2439
何,23,12444,11191.5231
か,24,11910,10711.2697
ない,25,11908,10709.471
はい,26,10821,9731.8765
から,27,10063,9050.1685
ああ,28,9487,8532.1424
無い,29,9439,8488.9735
あの,30,9000,8094.1584
で,31,7955,7154.3367
あっ,32,7744,6964.5737
な,33,7730,6951.9828
けれど,34,7698,6923.2035
其れ,35,7463,6711.8561
有る,36,7324,6586.8463
良い,37,7236,6507.7034
を,38,7194,6469.9307
まあ,39,6700,6025.6513
ます,40,6407,5762.1415
もう,41,5979,5377.2193
遣る,42,5602,5038.164
の,43,5525,4968.9139
此れ,44,5438,4890.6704
行く,45,5264,4734.1833
さ,46,5020,4514.7417
いや,47,4837,4350.1605
成る,48,4404,3960.7415
事,49,4296,3863.6116
思う,50,4012,3608.196
来る,51,4005,3601.9005
つう,52,3827,3441.816
彼れ,53,3706,3332.9946
と,54,3618,3253.8517
一寸,55,3588,3226.8712
さん,56,3413,3069.4848
一,57,3346,3009.2282
其の,58,3304,2971.4555
御,59,3285,2954.3678
こう,60,3152,2834.7542
みたい,61,3050,2743.0204
,62,3036,2730.4294
人,63,3015,2711.5431
ちゃう,64,2981,2680.9651
俺,65,2950,2653.0853
から,66,2939,2643.1924
分かる,67,2876,2586.5333
えっ,68,2783,2502.8937
居る,69,2742,2466.0203
ええ,70,2478,2228.5916
今,71,2442,2196.215
どう,72,2382,2142.2539
見る,73,2322,2088.2929
凄い,74,2226,2001.9552
くらい,75,2217,1993.861
ん,76,2081,1871.5493
じゃん,77,2072,1863.4551
此の,78,2036,1831.0785
二,79,2021,1817.5882
その,80,2018,1814.8902
時,81,2000,1798.7019
矢張り,82,1977,1778.0168
本当,83,1889,1698.8739
ば,84,1882,1692.5785
十,85,1840,1654.8057
れる,86,1823,1639.5168
違う,87,1798,1617.033
方,88,1773,1594.5492
えーと,89,1770,1591.8512
後,90,1717,1544.1856
其処,91,1639,1474.0362
此処,92,1632,1467.7407
ふん,93,1586,1426.3706
出来る,94,1564,1406.5849
三,95,1562,1404.7862
だけ,96,1559,1402.0881
ず,97,1545,1389.4972
し,98,1541,1385.8998
奴,99,1486,1336.4355
多分,100,1448,1302.2602
け,101,1420,1277.0783
へえ,102,1376,1237.5069
感じ,103,1366,1228.5134
出る,104,1356,1219.5199
たい,105,1315,1182.6465
まで,106,1276,1147.5718
えー,107,1268,1140.377
訳,108,1263,1135.8802
入る,109,1261,1134.0815
話,110,1260,1133.1822
ちゃん,111,1257,1130.4841
もの,112,1231,1107.101
皆,113,1222,1099.0068
前,114,1221,1098.1075
結構,115,1145,1029.7568
様,116,1131,1017.1659
年,117,1077,968.601
五,118,1072,964.1042
何処,119,1070,962.3055
や,120,1069,961.4062
食べる,121,1057,950.6139
僕,122,1043,938.023
所,123,1028,924.5328
貰う,124,1014,911.9419
そんな,125,993,893.0555
的,126,980,881.3639
書く,127,974,875.9678
彼の,128,973,875.0685
たり,129,972,874.1691
四,130,961,864.2763
所,131,957,860.6788
取る,132,954,857.9808
知る,133,953,857.0814
成る程,134,945,849.8866
全然,135,937,842.6918
自分,136,933,839.0944
持つ,137,927,833.6983
時,138,917,824.7048
使う,139,913,821.1074
作る,140,911,819.3087
駄目,141,909,817.51
ほら,142,899,808.5165
此方,143,896,805.8184
飲む,144,874,786.0327
おお,145,870,782.4353
円,146,853,767.1464
未だ,147,852,766.247
んー,147,852,766.247
回,149,845,759.9515
別,150,827,743.7632
物,151,824,741.0652
聞く,152,819,736.5684
大丈夫,153,808,726.6756
つ,154,800,719.4808
二十,155,793,713.1853
時間,156,790,710.4872
月,157,779,700.5944
全部,158,772,694.2989
呉れる,159,748,672.7145
先生,160,747,671.8152
入れる,161,744,669.1171
出す,162,725,652.0294
中,163,722,649.3314
何,164,714,642.1366
しか,165,707,635.8411
そんな,166,700,629.5457
はあ,167,696,625.9483
彼処,168,695,625.0489
人,169,693,623.2502
達,170,673,605.2632
六,171,652,586.3768
余り,172,646,580.9807
普通,173,644,579.182
今日,174,643,578.2827
知れる,175,642,577.3833
あれ,176,640,575.5846
とく,177,630,566.5911
一番,178,627,563.893
万,178,627,563.893
買う,180,622,559.3963
気,181,620,557.5976
わ,182,612,550.4028
てく,182,612,550.4028
良く,184,607,545.906
誰,185,606,545.0067
又,186,604,543.208
百,187,603,542.3086
考える,188,602,541.4093
八,189,593,533.3151
君,190,584,525.2209
美味しい,191,578,519.8248
確か,192,569,511.7307
そう,193,550,494.643
日,194,541,486.5489
んー,195,540,485.6495
返る,196,539,484.7502
日本,197,531,477.5553
られる,198,525,472.1592
何時,199,514,462.2664
旨い,200,512,460.4677
御前,201,511,459.5683
多い,202,509,457.7696
家,203,507,455.9709
一緒,204,503,452.3735
会,205,489,439.7826
等,205,489,439.7826
物,207,480,431.6885
ずっと,208,478,429.8897
上,209,474,426.2923
生,210,473,425.393
例えば,210,473,425.393
有り難う,212,468,420.8962
好き,212,468,420.8962
済む,214,465,418.1982
早い,215,464,417.2988
一応,216,461,414.6008
置く,217,460,413.7014
私,218,457,411.0034
絶対,219,455,409.2047
学校,220,454,408.3053
風,221,453,407.406
面白い,222,446,401.1105
高い,222,446,401.1105
下さる,224,444,399.3118
個,225,436,392.117
食う,225,436,392.117
最初,227,432,388.5196
辺,228,431,387.6203
結局,229,430,386.7209
ちゃんと,230,426,383.1235
何方,230,426,383.1235
変わる,232,425,382.2241
乗る,233,422,379.5261
頂く,234,418,375.9287
一人,235,416,374.13
方,235,416,374.13
なんか,237,414,372.3313
待つ,238,413,371.4319
日,239,411,369.6332
一,240,410,368.7339
終わる,240,410,368.7339
色々,242,405,364.2371
意味,243,404,363.3378
大体,243,404,363.3378
嫌,245,402,361.5391
七,246,400,359.7404
三十,247,397,357.0423
内,248,395,355.2436
昔,249,394,354.3443
より,250,392,352.5456
付ける,251,391,351.6462
らしい,252,389,349.8475
上げる,253,383,344.4514
分,254,381,342.6527
あー,255,376,338.156
付く,256,375,337.2566
御座る,257,373,335.4579
子,258,372,334.5585
金,259,365,328.2631
こんな,260,364,327.3637
要る,261,362,325.565
せる,262,360,323.7663
日,263,356,320.1689
同じ,264,355,319.2696
御免,265,353,317.4709
さっき,265,353,317.4709
止める,267,352,316.5715
仕事,268,343,308.4774
次,269,342,307.578
や,269,342,307.578
母,271,336,302.1819
やばい,271,336,302.1819
掛かる,273,334,300.3832
先ず,273,334,300.3832
もっと,275,333,299.4839
おっ,275,333,299.4839
九,277,330,296.7858
目,278,329,295.8865
最後,279,322,289.591
悪い,280,321,288.6917
唯,281,318,285.9936
最近,282,316,284.1949
他,282,316,284.1949
今度,282,316,284.1949
下,285,315,283.2955
二,286,311,279.6981
一杯,287,303,272.5033
子供,287,303,272.5033
色んな,289,302,271.604
無理,290,301,270.7046
逆,291,300,269.8053
ながら,292,297,267.1072
なんて,292,297,267.1072
目茶,294,294,264.4092
会社,294,294,264.4092
オーケー,296,293,263.5098
家,297,288,259.0131
見える,298,287,258.1137
大変,299,286,257.2144
切る,299,286,257.2144
直ぐ,299,286,257.2144
覚える,302,284,255.4157
掛ける,302,284,255.4157
取り敢えず,304,283,254.5163
関係,304,283,254.5163
問題,306,282,253.617
過ぎる,307,280,251.8183
向こう,308,278,250.0196
二人,309,276,248.2209
会う,309,276,248.2209
場合,309,276,248.2209
まじ,312,273,245.5228
ほう,313,272,244.6235
屋,314,271,243.7241
番,315,270,242.8248
欲しい,316,269,241.9254
者,317,268,241.0261
ママ,318,267,240.1267
さ,319,266,239.2273
侭,320,262,235.6299
五十,320,262,235.6299
難しい,322,260,233.8312
願う,322,260,233.8312
仕舞う,324,259,232.9319
形,324,259,232.9319
昨日,326,256,230.2338
話す,327,254,228.4351
大きい,328,252,226.6364
が,328,252,226.6364
小さい,330,250,224.8377
枚,330,250,224.8377
読む,332,245,220.341
語,332,245,220.341
要する,332,245,220.341
先,335,244,219.4416
安い,336,243,218.5423
車,336,243,218.5423
必要,336,243,218.5423
何れ,339,242,217.6429
為,339,242,217.6429
因る,339,242,217.6429
