word,rank,freq,pmw
だ,1,39173,48423.6629
うん,2,39055,48277.7973
ね,3,21099,26081.5067
た,4,18570,22955.286
の,5,18551,22931.7992
そう,6,18373,22711.7647
て,7,17887,22110.9963
か,8,13206,16324.583
の,9,12780,15797.9836
も,10,12677,15670.6603
が,11,12628,15610.089
で,12,12607,15584.1298
,13,12333,15245.425
は,14,12045,14889.4141
に,15,11733,14503.7356
と,16,11628,14373.94
よ,17,11415,14110.6403
です,18,10898,13471.5513
てる,19,10894,13466.6067
って,20,10535,13022.8292
言う,21,10023,12389.9209
何,22,9986,12344.1834
為る,23,8855,10946.099
ない,24,8744,10808.8864
か,25,8206,10143.8383
から,26,7249,8960.8437
ああ,27,7204,8905.217
はい,28,7083,8755.643
あっ,29,6922,8556.623
無い,30,6688,8267.3642
で,31,5877,7264.8474
あの,32,5807,7178.317
けれど,33,5697,7042.3406
良い,34,5286,6534.2834
ます,35,5247,6486.0735
有る,36,4958,6128.8265
な,37,4841,5984.1971
を,38,4724,5839.5676
其れ,39,4615,5704.8274
の,40,4596,5681.3406
もう,41,4576,5656.6176
行く,42,3924,4850.6485
さ,43,3787,4681.2961
遣る,44,3600,4450.1362
まあ,45,3563,4404.3987
思う,46,3436,4247.4078
御,47,3338,4126.2652
成る,48,3199,3954.4405
此れ,49,3170,3918.5922
いや,50,3166,3913.6476
来る,51,2858,3532.9137
一寸,52,2712,3352.436
さん,53,2676,3307.9346
えっ,54,2675,3306.6984
みたい,55,2613,3230.0572
事,56,2527,3123.7484
こう,57,2510,3102.7339
ちゃう,58,2468,3050.8156
凄い,59,2430,3003.842
と,60,2423,2995.1889
其の,61,2321,2869.1017
人,62,2261,2794.9328
彼れ,63,2243,2772.6821
つう,64,2197,2715.8192
居る,65,2193,2710.8746
私,66,2115,2614.455
分かる,67,2036,2516.7993
一,68,1977,2443.8665
本当,69,1899,2347.4469
から,70,1867,2307.8901
,71,1792,2215.1789
今,72,1710,2113.8147
矢張り,73,1694,2094.0363
見る,74,1654,2044.5904
ええ,75,1631,2016.1589
時,76,1622,2005.0336
くらい,77,1572,1943.2262
ふん,78,1531,1892.544
へえ,79,1434,1772.6376
どう,80,1433,1771.4014
じゃん,81,1394,1723.1916
食べる,82,1391,1719.4832
此の,83,1368,1691.0518
違う,84,1343,1660.148
れる,85,1342,1658.9119
ん,86,1298,1604.5213
感じ,87,1266,1564.9646
方,88,1230,1520.4632
俺,89,1216,1503.1571
し,90,1193,1474.7257
たい,91,1188,1468.545
後,92,1183,1462.3642
二,93,1100,1359.7638
其処,94,1094,1352.347
多分,95,1091,1348.6385
だけ,96,1070,1322.6794
ず,97,1067,1318.9709
ば,98,1055,1304.1371
その,99,1032,1275.7057
此処,100,1006,1243.5658
前,101,1000,1236.149
出来る,102,999,1234.9128
十,103,979,1210.1898
もの,104,975,1205.2452
皆,105,962,1189.1753
け,106,944,1166.9246
えーと,107,936,1157.0354
入る,108,913,1128.604
大丈夫,109,901,1113.7702
まで,110,891,1101.4087
結構,111,878,1085.3388
飲む,112,874,1080.3942
ちゃん,113,872,1077.9219
三,114,867,1071.7411
たり,115,836,1033.4205
出る,116,829,1024.7675
自分,117,814,1006.2252
話,118,811,1002.5168
奴,119,798,986.4469
美味しい,120,795,982.7384
年,121,783,967.9046
全然,122,776,959.2516
知る,123,769,950.5985
貰う,124,752,929.584
そんな,125,747,923.4033
取る,126,729,901.1526
使う,127,726,897.4441
所,128,724,894.9718
彼の,129,720,890.0272
此方,130,707,873.9573
様,131,701,866.5404
持つ,132,682,843.0536
達,133,659,814.6222
作る,134,649,802.2607
訳,135,648,801.0245
駄目,136,646,798.5522
呉れる,137,643,794.8438
何処,138,635,784.9546
ほら,139,634,783.7184
書く,140,632,781.2461
有り難う,141,628,776.3015
聞く,142,619,765.1762
的,143,614,758.9955
物,144,609,752.8147
時,145,592,731.8002
つ,145,592,731.8002
未だ,147,587,725.6194
時間,148,579,715.7302
月,149,576,712.0218
家,150,569,703.3688
所,151,568,702.1326
済む,152,567,700.8965
おお,153,564,697.188
何,154,561,693.4796
回,155,554,684.8265
そんな,156,549,678.6458
はあ,157,543,671.2289
入れる,158,542,669.9927
余り,159,541,668.7566
日,160,535,661.3397
五,161,532,657.6312
そう,162,528,652.6866
子,163,525,648.9782
気,164,514,635.3806
御座る,164,514,635.3806
成る程,166,496,613.1299
先生,167,492,608.1853
普通,168,484,598.2961
今日,169,481,594.5876
下さる,170,478,590.8792
全部,171,472,583.4623
出す,172,468,578.5177
好き,173,465,574.8093
四,174,464,573.5731
一緒,174,464,573.5731
一番,176,460,568.6285
御免,177,457,564.9201
知れる,178,454,561.2116
わ,179,451,557.5032
彼処,180,447,552.5586
しか,181,443,547.614
確か,182,440,543.9055
良く,183,438,541.4332
てく,184,437,540.1971
あれ,185,433,535.2525
何時,186,432,534.0163
買う,187,431,532.7802
んー,188,429,530.3079
僕,189,423,522.891
返る,190,422,521.6549
人,191,421,520.4187
又,192,419,517.9464
中,193,414,511.7657
旨い,194,413,510.5295
二十,195,409,505.5849
とく,196,408,504.3488
誰,197,405,500.6403
ちゃんと,198,401,495.6957
や,199,396,489.515
られる,200,394,487.0427
面白い,201,393,485.8065
別,202,392,484.5704
円,203,380,469.7366
考える,203,380,469.7366
上,205,378,467.2643
ずっと,206,373,461.0836
多い,207,371,458.6113
一人,208,369,456.139
君,209,351,433.8883
日本,210,346,427.7075
六,211,345,426.4714
待つ,212,344,425.2352
生,213,342,422.7629
やばい,213,342,422.7629
頂く,215,340,420.2906
絶対,215,340,420.2906
変わる,217,337,416.5822
上げる,218,335,414.1099
色々,218,335,414.1099
仕事,218,335,414.1099
子供,221,334,412.8737
嫌,222,331,409.1653
目茶,223,327,404.2207
個,224,320,395.5677
早い,225,314,388.1508
高い,226,312,385.6785
止める,227,311,384.4423
大変,228,309,381.97
んー,229,306,378.2616
八,229,306,378.2616
色んな,229,306,378.2616
意味,232,302,373.317
せる,233,300,370.8447
付く,234,297,367.1362
一,234,297,367.1362
最初,236,296,365.9001
より,237,293,362.1916
一杯,238,291,359.7193
同じ,239,288,356.0109
置く,240,282,348.594
こんな,241,281,347.3579
辺,242,278,343.6494
母,243,277,342.4133
学校,243,277,342.4133
会う,243,277,342.4133
ながら,246,276,341.1771
一応,247,275,339.941
なんか,247,275,339.941
方,249,273,337.4687
風,250,271,334.9964
最近,250,271,334.9964
怖い,252,268,331.2879
可愛い,252,268,331.2879
会,254,267,330.0518
二人,254,267,330.0518
乗る,256,264,326.3433
えー,257,262,323.871
付ける,257,262,323.871
何方,259,261,322.6349
昔,259,261,322.6349
どうぞ,261,258,318.9264
日,262,256,316.4541
分,263,254,313.9818
らしい,264,251,310.2734
頼む,264,251,310.2734
悪い,266,249,307.8011
金,267,248,306.5649
下,268,243,300.3842
結局,268,243,300.3842
物,270,240,296.6757
内,271,236,291.7312
等,272,234,289.2589
掛かる,273,232,286.7866
歩く,273,232,286.7866
例えば,275,231,285.5504
万,276,230,284.3143
