word,rank,freq,pmw
だ,1,18560,48104.0873
うん,2,17821,46188.736
た,3,10467,27128.5281
ね,4,9703,25148.3814
て,5,8853,22945.3386
の,6,8074,20926.3147
そう,7,6719,17414.4053
の,8,6394,16572.0654
,9,6386,16551.3309
が,10,6151,15942.2544
よ,11,6140,15913.7444
で,12,6025,15615.6857
てる,13,5942,15400.565
か,14,5602,14519.3479
は,15,5593,14496.0216
も,16,5537,14350.8799
に,17,5434,14083.923
って,18,5139,13319.3375
と,19,5008,12979.8098
何,20,4990,12933.1571
ない,21,4552,11797.9421
言う,22,4331,11225.151
為る,23,4124,10688.6453
から,24,3969,10286.9139
無い,25,3303,8560.7651
か,26,3298,8547.806
ああ,27,3065,7943.9131
あっ,28,2980,7723.6088
の,29,2951,7648.4462
な,30,2663,6902.0035
けれど,31,2558,6629.8629
其れ,32,2521,6533.9657
さ,33,2516,6521.0067
良い,34,2453,6357.7223
あの,35,2385,6181.4789
です,36,2356,6106.3163
御,37,2238,5800.4821
で,38,2232,5784.9312
有る,39,2169,5621.6468
もう,40,2149,5569.8105
を,41,2004,5193.9974
行く,42,1954,5064.4066
此れ,43,1688,4374.9838
遣る,44,1617,4190.9649
まあ,45,1567,4061.3742
来る,46,1487,3854.029
いや,47,1471,3812.5599
えっ,48,1456,3773.6827
思う,49,1413,3662.2347
成る,50,1404,3638.9083
さん,51,1390,3602.6229
彼れ,52,1237,3206.0752
一寸,53,1215,3149.0553
ちゃん,54,1207,3128.3208
,55,1175,3045.3827
はい,56,1150,2980.5873
事,57,1139,2952.0773
ん,58,1107,2869.1393
ええ,59,1090,2825.0784
居る,60,1086,2814.7111
つう,61,1079,2796.5684
じゃん,62,1062,2752.5076
凄い,63,1056,2736.9567
其の,64,1050,2721.4058
こう,65,1011,2620.325
食べる,66,1001,2594.4069
ちゃう,67,997,2584.0396
人,68,988,2560.7133
一,69,981,2542.5706
みたい,70,969,2511.4688
ます,71,959,2485.5506
ふん,71,959,2485.5506
見る,73,943,2444.0816
と,74,928,2405.2044
分かる,75,911,2361.1435
から,76,841,2179.7165
今,77,839,2174.5328
私,78,785,2034.5748
違う,79,754,1954.2285
本当,80,750,1943.8613
どう,81,746,1933.494
時,82,740,1917.9431
くらい,83,706,1829.8214
や,84,703,1822.046
ほら,85,677,1754.6588
れる,86,669,1733.9243
へえ,87,663,1718.3734
し,88,618,1601.7417
二,89,613,1588.7826
此の,90,612,1586.1908
俺,91,592,1534.3545
け,92,591,1531.7627
美味しい,93,585,1516.2118
矢張り,94,565,1464.3755
奴,95,552,1430.6819
もの,96,540,1399.5801
だけ,97,523,1355.5193
出る,98,521,1350.3356
方,99,494,1280.3566
ば,100,489,1267.3976
後,101,478,1238.8876
その,102,473,1225.9285
十,103,466,1207.7858
彼の,104,462,1197.4186
其処,105,457,1184.4595
まで,106,447,1158.5413
何処,107,446,1155.9495
知る,107,446,1155.9495
ず,109,440,1140.3986
三,110,431,1117.0723
感じ,111,429,1111.8887
入る,112,420,1088.5623
皆,113,415,1075.6032
出来る,114,413,1070.4196
わ,115,412,1067.8278
前,116,408,1057.4605
此処,117,405,1049.6851
年,118,399,1034.1342
たい,119,397,1028.9506
持つ,120,391,1013.3997
買う,121,380,984.8897
君,122,378,979.7061
そんな,123,370,958.9716
入れる,124,363,940.8289
未だ,125,360,933.0534
全然,126,359,930.4616
呉れる,126,359,930.4616
話,128,351,909.7271
駄目,129,346,896.768
取る,130,341,883.8089
書く,131,338,876.0335
訳,132,337,873.4417
結構,133,335,868.258
五,134,329,852.7072
多分,135,324,839.7481
自分,136,319,826.789
此方,137,318,824.1972
所,138,317,821.6054
今日,139,316,819.0136
誰,140,313,811.2381
母,141,311,806.0545
はあ,142,306,793.0954
そんな,143,293,759.4018
んー,144,292,756.81
四,145,291,754.2182
たり,146,290,751.6264
回,147,280,725.7082
返る,148,279,723.1164
好き,149,278,720.5246
使う,150,276,715.341
聞く,151,273,707.5655
良く,152,272,704.9737
んー,153,271,702.3819
様,154,268,694.6064
作る,154,268,694.6064
百,156,265,686.831
何,157,262,679.0555
子,157,262,679.0555
えーと,159,256,663.5047
先生,159,256,663.5047
中,161,255,660.9128
気,162,254,658.321
彼処,163,252,653.1374
大丈夫,164,250,647.9538
円,164,250,647.9538
とく,166,249,645.3619
おお,166,249,645.3619
普通,168,248,642.7701
嫌,168,248,642.7701
そう,170,247,640.1783
時,171,243,629.8111
何時,172,242,627.2192
あれ,173,237,614.2602
貰う,174,235,609.0765
余り,175,233,603.8929
られる,175,233,603.8929
御前,177,232,601.3011
家,178,227,588.342
一緒,179,226,585.7502
高い,180,225,583.1584
別,181,223,577.9748
人,181,223,577.9748
出す,183,222,575.3829
しか,183,222,575.3829
所,185,215,557.2402
達,185,215,557.2402
ママ,185,215,557.2402
個,188,211,546.873
早い,188,211,546.873
父,190,209,541.6893
上げる,191,208,539.0975
待つ,192,206,533.9139
生,193,205,531.3221
又,194,201,520.9548
パパ,194,201,520.9548
知れる,196,200,518.363
てく,196,200,518.363
日,198,199,515.7712
物,199,198,513.1794
ちゃんと,200,195,505.4039
飲む,201,193,500.2203
二十,201,193,500.2203
全部,203,192,497.6285
つ,204,189,489.853
置く,205,185,479.4858
覚える,205,185,479.4858
御飯,207,183,474.3022
時間,208,182,471.7103
六,208,182,471.7103
ずっと,210,179,463.9349
物,211,178,461.3431
旨い,212,176,456.1594
一番,213,173,448.384
やばい,213,173,448.384
的,215,172,445.7922
やん,216,171,443.2004
日本,217,169,438.0167
上,218,168,435.4249
多い,219,167,432.8331
貴方,219,167,432.8331
絶対,221,166,430.2413
昨日,221,166,430.2413
学校,223,164,425.0577
,224,162,419.874
万,225,158,409.5068
大きい,226,157,406.915
家,226,157,406.915
頂く,228,156,404.3231
要る,228,156,404.3231
小さい,230,155,401.7313
確か,231,154,399.1395
面白い,231,154,399.1395
悪い,233,153,396.5477
一人,234,152,393.9559
昔,234,152,393.9559
月,236,151,391.3641
大変,236,151,391.3641
最初,238,150,388.7723
止める,238,150,388.7723
下,238,150,388.7723
目茶,241,149,386.1804
付ける,242,148,383.5886
八,243,147,380.9968
変わる,244,146,378.405
より,245,145,375.8132
こんな,246,144,373.2214
痛い,246,144,373.2214
考える,248,142,368.0377
仕事,249,140,362.8541
何方,250,139,360.2623
